name,artist,date
1,The Beatles,2000-11-13
The Beatles (The White Album),The Beatles,1968-11-22
The Beatles 1967-1970 (The Blue Album),The Beatles,1973-04-02
The Beatles 1962-1966 (The Red Album),The Beatles,1973-04-02
The Beatles (White Album) (Super Deluxe Edition) [2018 Remix & Remaster],The Beatles,1968-11-22
Abbey Road (2019 Mix),The Beatles,1969-09-26
Rubber Soul,The Beatles,1965-12-03
Abbey Road (Remastered),The Beatles,1969-09-26
The Concert for Bangladesh (Live),The Beatles,1971-12-20
Egypt Station,The Beatles,2018-09-07
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,1967-06-01
Blue Suede Shoes: A Rockabilly Session (Live),The Beatles,1986-01-01
Abbey Road (Super Deluxe Edition) [2019 Remix & Remaster],The Beatles,1969-09-26
Revolver,The Beatles,1966-08-05
Look Up,The Beatles,2025-01-10
Let It Be (2021 Super Deluxe),The Beatles,1970-05-08
Let It Be,The Beatles,1970-05-08
The Beatles (White Album) [Deluxe],The Beatles,1968-11-22
Lover,Taylor Swift,2019-08-23
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,2024-04-19
folklore,Taylor Swift,2020-07-24
Fearless (Taylor's Version),Taylor Swift,2021-04-09
Red (Taylor's Version),Taylor Swift,2021-11-12
Midnights (3am Edition),Taylor Swift,2022-10-21
evermore,Taylor Swift,2020-12-11
1989 (Taylor's Version),Taylor Swift,2023-10-27
Speak Now (Taylor's Version),Taylor Swift,2023-07-07
THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-19
reputation,Taylor Swift,2017-11-10
1989,Taylor Swift,2014-10-27
1989 (Taylor's Version) [Deluxe],Taylor Swift,2023-10-27
Midnights,Taylor Swift,2022-10-21
Red (Taylor’s Version) [+ A Message From Taylor],Taylor Swift,2021-11-12
folklore (deluxe version),Taylor Swift,2020-07-24
Speak Now (Taylor's Version),Taylor Swift,2023-07-07
evermore (deluxe version),Taylor Swift,2020-12-11
Red,Taylor Swift,2012-01-01
folklore,Taylor Swift,2020-07-24
Speak Now,Taylor Swift,2010-10-25
Midnights (The Til Dawn Edition),Taylor Swift,2022-10-21
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,2024-04-19
Taylor Swift (Bonus Track Version),Taylor Swift,2006-10-24
Fearless,Taylor Swift,2008-11-11
Midnights (3am Edition),Taylor Swift,2022-10-21
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],Taylor Swift,2020-11-25
Midnights,Taylor Swift,2022-10-21
1989 (Deluxe Edition),Taylor Swift,2014-10-27
Into the Light,Matthew West,2012-09-25
The Story of Your Life (Deluxe Edition),Matthew West,2010-01-01
Something To Say,Matthew West,2008-01-15
Brand New,Matthew West,2020-02-14
The Heart of Christmas,Matthew West,2011-01-01
Truth Be Told - Single,Matthew West,2019-10-18
My Story Your Glory,Matthew West,2023-02-17
Hold You Up - Single,Matthew West,2010-01-01
Don't Stop Praying,Matthew West,2024-10-04
The God Who Stays - Single,Matthew West,2019-07-26
All In,Matthew West,2017-09-22
The Story of Your Life,Matthew West,2010-01-01
Brand New Deluxe Edition,Matthew West,2021-04-09
Don't Stop Praying - Single,Matthew West,2024-01-05
We Need Christmas,Matthew West,2021-10-29
"Hello, My Name Is (Greatest Hits)",Matthew West,2019-08-02
Me on Your Mind - Single,Matthew West,2022-02-18
Into the Light,Matthew West,2012-01-01
The Story of Your Life (Deluxe Edition),Matthew West,2010-01-01
Truth Be Told - Single,Matthew West,2021-03-05
Live Forever (Deluxe Edition),Matthew West,2015-04-28
My Story Your Glory (Expanded Edition),Matthew West,2023-11-03
Something to Say (Deluxe Edition),Matthew West,2007-01-15
"Unplanned (From ""Unplanned"") - Single",Matthew West,2019-03-22
Gobble Gobble - Single,Matthew West,2020-11-13
Unto Us: A Christmas Collection,Matthew West,2016-10-21
The Writer's Room: An Acoustic - EP,Matthew West,2009-01-01
Me on Your Mind - Single,Matthew West,2022-08-12
Happy,Matthew West,2003-12-26
Something To Say (Deluxe Edition),Matthew West,2007-01-15
History,Matthew West,2004-01-01
Take Heart - Single,Matthew West,2020-04-10
The Hope of Christmas - Single,Matthew West,2020-10-16
Blessed Assurance (My King Is Coming) - Single,Matthew West,2013-01-01
Live Before the World Shut Down - EP,Matthew West,2020-10-30
Because of Bethlehem - Single,Matthew West,2023-10-27
What If - Single,Matthew West,2019-09-27
18 Summers - Single,Matthew West,2024-04-26
Come Home for Christmas - Single,Matthew West,2022-10-28
Save a Place for Me (Performance Tracks) - EP,Matthew West,2009-01-01
Quarantine Life - Single,Matthew West,2020-04-28
Broken Things - Single,Matthew West,2017-05-12
My Story Your Glory - Single,Matthew West,2022-09-09
Wouldn't Change a Thing - Single,Matthew West,2011-01-01
Live Forever,Matthew West,2014-04-28
Into the Light: Life Stories & Live Songs (Deluxe Edition),Matthew West,2013-01-01
Before You Ask Her - Single,Matthew West,2022-06-10
What If (feat. Lathan Warlick) - Single,Matthew West,2021-08-13
Before You Ask Her (feat. Lulu West) - Single,Matthew West,2023-06-16
Mended (Radio Edit) - Single,Matthew West,2016-06-03
A Christmas To Believe In - Single,Matthew West,2014-11-17
We Need Christmas,Matthew West,2021-10-29
Mercy Is A Song - Single,Matthew West,2018-10-12
Hold You Up (Performance Tracks) - EP,Matthew West,2010-01-01
Don't Stop Praying (Acoustic) - Single,Matthew West,2024-06-21
The Stories Premium Collection (Performance Tracks),Matthew West,2011-01-01
Last Page of The Bible - EP,Matthew West,2024-09-06
The Motions (Performance Tracks) - EP,Matthew West,2009-01-01
Winter Wonderland - Single,Matthew West,2019-11-08
You Changed My Name - Single,Matthew West,2023-10-06
All In - Single,Matthew West,2017-07-14
How Good of God - Single,Matthew West,2022-07-29
Wonderful Life - Single,Matthew West,2022-04-22
Sigue Orando (Don't Stop Praying) - Single,Matthew West,2024-07-12
The Reason for the World (Performance Tracks) - EP,Matthew West,2011-01-01
You Are Everything (Performance Tracks) - EP,Matthew West,2007-01-01
Graffiti U,Keith Urban,2018-04-27
Golden Road,Keith Urban,2002-10-08
"THE SPEED OF NOW, Pt. 1",Keith Urban,2020-09-18
Ripcord,Keith Urban,2016-05-06
Greatest Hits,Keith Urban,2007-11-20
Greatest Hits (Deluxe Edition),Keith Urban,2007-11-20
HIGH,Keith Urban,2024-09-20
Fuse (Deluxe Version),Keith Urban,2013-09-10
Defying Gravity,Keith Urban,2009-03-31
God Whispered Your Name - Single,Keith Urban,2020-02-27
We Were - Single,Keith Urban,2019-05-14
iTunes Originals: Keith Urban,Keith Urban,2009-07-21
Be Here,Keith Urban,2004-09-21
Wild Hearts - Single,Keith Urban,2021-08-19
I'll Be Your Santa Tonight - Single,Keith Urban,2019-11-08
Brown Eyes Baby - Single,Keith Urban,2022-07-08
Get Closer (Deluxe Edition),Keith Urban,2010-11-16
We Were (feat. Eric Church) - Single,Keith Urban,2019-10-21
"Love, Pain & The Whole Crazy Thing",Keith Urban,2006-11-07
MESSED UP AS ME - Single,Keith Urban,2024-03-01
GO HOME W U - Single,Keith Urban,2024-05-03
Burden - Single,Keith Urban,2019-04-07
Get Closer,Keith Urban,2010-11-16
Keith Urban,Keith Urban,1999-10-19
Fuse,Keith Urban,2013-09-10
Keith Urban in The Ranch,Keith Urban,1997-01-01
AOL Sessions (Live),Keith Urban,2005-01-01
Superman - Single,Keith Urban,2020-07-17
For You - Single,Keith Urban,2012-01-01
STRAIGHT LINE - Single,Keith Urban,2024-02-02
Polaroid - Single,Keith Urban,2020-04-24
You'll Think of Me (Live) - Single,Keith Urban,2005-01-01
"Crimson Blue (From ""Nine Perfect Strangers"") - Single",Keith Urban,2021-09-20
Street Called Main - Single,Keith Urban,2022-10-28
Both Still Young - Single,Keith Urban,2020-06-12
MESSED UP AS ME (2:45am version) - Single,Keith Urban,2024-09-06
"Blue Ain't Your Color (Live from Saratoga, NY, 6/27/2018) - Single",Keith Urban,2018-08-10
We Were (Acoustic Version) - Single,Keith Urban,2019-08-02
"Let It Roll (From ""The Garfield Movie"") - Single",Keith Urban,2024-04-12
Call My Name / Thank You Message - Single,Keith Urban,2009-03-31
You'll Think Of Me (Live) - Single,Keith Urban,2022-06-17
Nightfalls - Single,Keith Urban,2022-03-31
"Si Me Llevas Contigo (Banda Sonora Original de la serie ""Zorro"") - Single",Keith Urban,2024-01-12
